variation_range,ptge_angular_error,spaze_angular_error
"(-0.1, 0.1)",96.10783111572266,79.62430246988933
"(-0.2, 0.2)",96.10786414591472,79.62430246988933
"(-0.3, 0.3)",96.10500227864583,79.62430246988933
