variation_range,ptge_loss,spaze_loss
"(-0.1, 0.1)",0.1686301473180453,107.64021558125813
"(-0.2, 0.2)",0.16863008133570354,107.64021558125813
"(-0.3, 0.3)",0.1686294702490171,107.64021558125813
